Region,Treatment Plant,lat,lon,labtype
Accra(Greater),Accra,5.6215642,-0.1929027,Regional
Ashanti south,Kumasi,6.6486581,-1.6071357,Regional
Brong Ahafo,Sunyani,7.341864,-2.313009,Regional
Central,Cape Coast,5.116226,-1.255629,Regional
Eastern,Koforidua,6.075403,-0.266844,Regional
Northern,Tamale,9.428017,-0.846983,Regional
Upper East,Bolgatanga,10.804464,-0.853013,Regional
Upper west,Wa,10.067061,-2.51117,Regional
Volta,Ho,6.608336,0.468496,Regional
Western,Takoradi,4.904857,-1.778209,Regional
