"Name","Round","System","Parameter","Value","Month"
"GN2C","Round 1 (March)","Hand pump","pH","5.6","Mar-20"
"GN2M","Round 1 (March)","Mechanized borehole","pH","5.8","Mar-20"
"DA1","Round 1 (March)","Hand pump","pH","6.3","Mar-20"
"DA2","Round 1 (March)","Hand pump","pH","6","Mar-20"
"DJ","Round 1 (March)","Hand pump","pH","5.6","Mar-20"
"KEN","Round 1 (March)","Mechanized borehole","pH","5.4","Mar-20"
"OLA","Round 1 (March)","Piped system","pH","6.8","Mar-20"
"KPS","Round 1 (March)","Piped system","pH","6.4","Mar-20"
"NR","Round 1 (March)","Piped system","pH","6.2","Mar-20"
"NPS","Round 1 (March)","Piped system","pH","6.7","Mar-20"
"GN2C","Round 2 (April)","Hand pump","pH","5.9","Apr-20"
"GN2M","Round 2 (April)","Mechanized borehole","pH","5.8","Apr-20"
"DA1","Round 2 (April)","Hand pump","pH","6.9","Apr-20"
"DA2","Round 2 (April)","Hand pump","pH","6.6","Apr-20"
"DJ","Round 2 (April)","Hand pump","pH","5.2","Apr-20"
"KEN","Round 2 (April)","Mechanized borehole","pH","5.4","Apr-20"
"OLA","Round 2 (April)","Piped system","pH","7.1","Apr-20"
"KPS","Round 2 (April)","Piped system","pH","6.3","Apr-20"
"NR","Round 2 (April)","Piped system","pH","6.3","Apr-20"
"NPS","Round 2 (April)","Piped system","pH","7.1","Apr-20"
"GN2C","Round 3 (May)","Hand pump","pH","5.9","May-20"
"GN2M","Round 3 (May)","Mechanized borehole","pH","5.8","May-20"
"DA1","Round 3 (May)","Hand pump","pH","6.2","May-20"
"DA2","Round 3 (May)","Hand pump","pH","5.7","May-20"
"DJ","Round 3 (May)","Hand pump","pH","5.5","May-20"
"KEN","Round 3 (May)","Mechanized borehole","pH","5.7","May-20"
"OLA","Round 3 (May)","Piped system","pH","7.2","May-20"
"KPS","Round 3 (May)","Piped system","pH","6.4","May-20"
"NR","Round 3 (May)","Piped system","pH","6.4","May-20"
"NPS","Round 3 (May)","Piped system","pH","7","May-20"
"GN2C","Round 4 (June)","Hand pump","pH","6","Jun-20"
"GN2M","Round 4 (June)","Mechanized borehole","pH","5.9","Jun-20"
"DA1","Round 4 (June)","Hand pump","pH","6.1","Jun-20"
"DA2","Round 4 (June)","Hand pump","pH","7","Jun-20"
"DJ","Round 4 (June)","Hand pump","pH","5.2","Jun-20"
"KEN","Round 4 (June)","Mechanized borehole","pH","5.1","Jun-20"
"OLA","Round 4 (June)","Piped system","pH","7.5","Jun-20"
"KPS","Round 4 (June)","Piped system","pH","6.2","Jun-20"
"NR","Round 4 (June)","Piped system","pH","6.4","Jun-20"
"NPS","Round 4 (June)","Piped system","pH","6.8","Jun-20"
"GN2C","Round 5 (July)","Hand pump","pH","6.7","Jul-20"
"GN2M","Round 5 (July)","Mechanized borehole","pH","6.3","Jul-20"
"DA1","Round 5 (July)","Hand pump","pH","6.7","Jul-20"
"DA2","Round 5 (July)","Hand pump","pH","7.2","Jul-20"
"DJ","Round 5 (July)","Hand pump","pH","5.8","Jul-20"
"KEN","Round 5 (July)","Mechanized borehole","pH","5.2","Jul-20"
"OLA","Round 5 (July)","Piped system","pH","7.2","Jul-20"
"KPS","Round 5 (July)","Piped system","pH","6.6","Jul-20"
"NR","Round 5 (July)","Piped system","pH","6.8","Jul-20"
"NPS","Round 5 (July)","Piped system","pH","7","Jul-20"
